    1   93   71    2   74   29   40   30
    2   54   32   66   97   64   98   15
    3   79   60   82   33   40   34   16
    4   86   67   30   13   92   31    9
    5   81   41   85   70   70   85   96
    6   44    8   70   32   36   89    2
    7   97   45   22   10   93   41   52
    8   28    5   54    8   41   34   35
    9   70   77   19   27   79   91    9
   10   77   46   68    4   15   73   34
   11   62   41   45   49   71   10   76
   12    1   60   17   94   88   22   26
   13   36   13    4    6   70   88   42
   14   27   24   34   91   14   61   77
   15   17   35   39   90   36    0   98
   16   97   77   51   83   91   64   26
   17   97   89   36   90   36   81   41
   18   23   73   43   53   19   18   69
   19    2   66   90   64   28   40   14
   20   44   91   12   69   79   40   51
   21   95   58   29   68   83   71   61
   22   84   74   43   59   75   91   22
   23    5   17   63   90   59   20   92
   24   17   14   79   33    0   97   28
   25   15   12   84   15   86    0   82
   26   95   70   84   64   83   92   72
   27   40   52    6   23    6   86   57
   28   42   98   67   88   20   40   69
   29   15   20   83   54   59   67   93
   30   37   61    8   46   19   59   68
   31   88   64   79   95   78   59   23
   32   40   91   13   21   11   82   25
   33   68   44   88   69   40   20    4
   34   85   53   65    0   72   94   65
   35   53   48   58   53   91   96   62
   36   94   56   65   37   76   19    4
   37   49   32   21   88   17   59   10
   38   87   63   82   15   54   59   99
   39   95   56   93   67   80   54   17
   40   85   18   55   27   38   32   69
   41   32   72   96    5   83   25   26
   42   98   65   73   13    2   36    1
   43   86   21   63   71   66   32   83
   44   73   18   54   94   74   87   63
   45   61   36   67   89    1   63   26
   46   46   11   56   89   49   71   95
   47   58   22   73   46   30   73    5
   48   70   51   11   24   75   56   22
   49   47   75   10   56   21   18   68
   50   88   98   63   83   17   98   19
   51   78    8   22   24   94   56   24
   52   54   63   53   42   62   33   58
   53   45   99    2   31   51   85   36
   54   70   30   33   56    9    3   70
   55   11   59   27   50   70   66   64
   56   61   10   22   88   49   88   24
   57   30   10   47   98    6   26   14
   58    8   35   69   15   59   94   87
   59   66   47   25   99   45   88   84
   60   62    0   10   54   50   17   69
   61   40   79    1   39   34   20   17
   62   49   90   37   71   26   52   13
   63   94   32   45   89   64   44   20
   64   39   61   40   51    1   36   26
   65   36   38   50   34   87   84   23
   66   54   63   11   15   83   11   93
   67   58   14   66   99   31   22   12
   68   33   92    3   41   36   50   43
   69   33   36   84   19   48   65    2
   70   17   52   89   61   56   32    7
   71   50    9   53   24   81   91   70
   72    6   40   71   15    3   42   33
   73    6   99   17   15   10   69   12
   74   66   49   79   75   83   81   20
   75   90   19   39   58   76   81   33
   76   58   10   35   27   33   56   50
   77   80    3   48   17    1   30    1
   78   81    9   65    3   88   71   73
